生物1-1	生物的特徵與生命現象	生物與非生物|生命現象|生物需要能量|生物會繁殖與適應
八上1-4	密度	密度的定義|密度是物質特性|密度的測量|浮沉判別
八上2-1	認識物質的性質	物理性質|化學性質|物質三態|物理變化與化學變化
八上2-2	純物質與混合物	純物質|元素與化合物|混合物|分類判別
八上2-3	混合物的分離	過濾|蒸發與結晶|蒸餾|簡易濾紙層析法
八上2-4	水溶液與濃度	溶液的組成|重量百分濃度|ppm 濃度|課綱範圍提醒
八上3-1	波的傳播	波是能量的傳遞|橫波與縱波|波的基本量|波速關係
八上3-2	聲音的產生與傳播	聲音的產生|聲音的傳播|聲速|回聲與應用
八上3-3	聲音的三要素	響度|音調|音色|影響音調的因素
八上3-4	聲音的現象與應用	回聲與反射|共鳴與共振|超聲波應用|噪音防治
八上4-1	光的傳播與反射	光的直進|反射定律|平面鏡成像|面鏡
八上4-2	光的折射與透鏡	折射現象|折射的規律|凸透鏡|凹透鏡
八上4-3	光與顏色	色散|光的三原色|物體的顏色|色光與顏料
八上4-4	光學儀器與視覺	眼睛的構造|近視與矯正|遠視與矯正|光學儀器
八上5-1	溫度與溫度計	溫度的意義|溫標|溫度計原理|溫度計種類
八上5-2	熱量與比熱	熱是能量|比熱的意義|比熱與升溫|生活現象
八上5-3	熱的傳播	傳導|對流|輻射|保溫與散熱
八上5-4	熱與物質變化	熱脹冷縮|物態變化|潛熱|加熱曲線
八上6-1	原子與原子模型	原子模型的科學史|原子的構造|原子序與質量數|原子的大小
八上6-2	元素與週期表	元素符號|週期表|金屬與非金屬|常見元素
八上6-3	元素的多樣性	同素異形體|碳的多樣面貌|新型碳材料|排列決定性質
八上6-4	化合物的形成	離子的形成|離子化合物|分子化合物|化學式
八下1-1	化學反應與化學式	化學反應|化學反應式|反應式平衡|反應徵象
八下1-2	質量守恆定律	質量守恆定律|科學史|守恆的原因|密閉系統
八下1-3	原子量、分子量與莫耳	原子量|分子量|莫耳(名詞認識)|課綱範圍
八下1-4	化學反應的能量	放熱反應|吸熱反應|能量形式|生活應用
八下2-1	氧化反應	氧化反應|劇烈氧化|緩慢氧化|防鏽
八下2-2	還原反應	還原反應|氧化還原成對|金屬活性|課綱提醒
八下2-3	氧化還原與生活	金屬活性順序|金屬置換|電池|防鏽應用
八下3-1	電解質與導電性	電解質|非電解質|導電性觀察|導電的原因
八下3-2	酸與鹼	酸的性質|鹼的性質|指示劑|酸的反應
八下3-3	中和與鹽	中和反應|鹽|pH值|生活應用
八下4-1	反應速率	反應速率|碰撞學說|有效碰撞|觀測方法
八下4-2	影響反應速率的因素	濃度|溫度|接觸面積|催化劑
八下4-3	可逆反應與化學平衡	可逆反應|化學平衡|動態平衡|平衡的特徵
八下5-1	認識有機化合物	有機化合物|碳的鍵結能力|加熱辨別實驗|有機vs無機
八下5-2	常見有機化合物	醣類|蛋白質|脂質|有機聚合物
八下5-3	有機物與生活	塑膠|合成纖維與橡膠|清潔劑原理|環境課題
八下6-1	力的作用與表示	力的作用|力的三要素|力圖表示|合力
八下6-2	常見的力	重力|摩擦力|彈力與虎克定律|正向力
八下6-3	壓力	壓力的定義|力與面積的關係|增大壓力|減小壓力
八下6-4	液體壓力與浮力	液體壓力|連通管|大氣壓力|浮力
九上1-1	位置與位移	參考點與位置|路徑長|位移|路徑長與位移
九上1-2	速率與速度	速率|速度|平均與瞬時|等速運動
九上1-3	加速度	加速度的意義|加速與減速|等加速度運動|圖形理解
九上2-1	牛頓第一運動定律	慣性定律|慣性|慣性與質量|生活實例
九上2-2	牛頓第二運動定律	牛頓第二定律|力與加速度方向|質量的影響|課綱範圍
九上2-3	牛頓第三運動定律	作用與反作用|成對出現|與平衡力的區別|生活應用
九上2-4	萬有引力與重力	萬有引力|重力|重力與重量|天體運動
九上3-1	功與功率	功的定義|不做功的情形|功率|功與功率的區別
九上3-2	力學能	動能|重力位能|力學能|力學能守恆
九上3-3	能量的轉換與守恆	能量的形式|能量轉換|能量守恆定律|效率
九上3-4	能源與科技	能源分類|新興能源科技|臺灣能源現況|永續能源
九上4-1	靜電現象	摩擦起電|電荷與電性|電力與距離電量|靜電應用
九上4-2	電流與電路	電流|電路組成|電流方向|電流的測量
九上4-3	電壓、電阻與歐姆定律	電壓|電阻|歐姆定律|課綱範圍
九上5-1	地球的水	水圈與水的分布|水循環的過程|水循環的動力|水資源
九上5-2	組成地殼的物質	礦物與岩石|火成岩|沉積岩|變質岩
九上5-3	地表的改變	風化|侵蝕與搬運|堆積|土壤的形成
九上6-1	地球內部與板塊	地球內部構造|板塊|板塊與地質活動|課綱範圍
九上6-2	地震與火山	地震的成因|震源與震央|規模與震度|火山
九上6-3	地層、化石與地質年代	地層與疊置原理|化石|指準化石|地質年代
九上7-1	地球的運動	地球自轉|晝夜交替|地球公轉|四季變化
九上7-2	月球與月相	月球特性|月相成因|月相變化|課綱範圍
九上7-3	太陽系與星空	太陽系組成|太陽是恆星|行星特性|星座與星空
九下1-1	電流的化學效應	電流的化學效應|電鍍|重金屬汙染議題|課綱範圍
九下1-2	電流的熱效應	電流的熱效應|電功與電能|電功率|課綱範圍
九下1-3	家庭用電與安全	家庭電路|保護裝置|用電安全|節約用電
九下2-1	磁鐵與磁場	磁極|磁場|磁力線|地磁與指南針
九下2-2	電流的磁效應	電流的磁效應|安培右手定則|電磁鐵|增強磁性
九下2-3	電流在磁場中受力	磁場中的受力|受力方向判斷|馬達原理|應用
九下2-4	電磁感應	電磁感應|產生感應電流的方式|影響感應電流大小|發電機
九下3-1	大氣與天氣要素	大氣的分層|天氣要素|氣壓|課綱範圍
九下3-2	大氣中的水	雲的形成|降水|氣團|鋒面
九下3-3	臺灣的天氣	季風|梅雨|颱風|災變天氣與防災
九下4-1	全球氣候變遷	溫室效應與暖化|氣候變遷的影響|減緩|調適
九下4-2	海洋與海水運動	波浪|海流|潮汐|海水運動的影響
九下4-3	永續經營	永續發展的意義|能源與資源永續|環境保護|生活實踐
